year,month,dom,hour,rf_,RH1000,RH925,RH850,RH700,RH500,RH400,RH300,RH250,RH150
2005,1,1,8,0.0,27.7,44.0,7.0,47.1,14.8,13.9,6.1,-99999.0,-99999.0
2005,1,1,20,0.0,23.0,27.5,3.4,73.8,9.0,3.7,5.8,4.4,4.9
2005,1,2,8,0.0,31.6,60.4,5.8,70.1,6.6,2.0,4.1,6.6,4.1
2005,1,2,20,0.0,40.3,70.5,78.2,64.4,11.7,14.5,6.7,11.2,4.8
2005,1,3,8,0.0,62.4,49.9,90.8,23.6,3.2,3.6,10.5,4.6,6.6
2005,1,3,20,0.0,48.0,85.3,75.1,2.1,2.9,2.9,21.3,26.3,10.7
2005,1,4,8,0.0,47.6,82.4,82.6,16.0,3.8,1.0,5.8,11.3,6.7
2005,1,4,20,0.0,45.0,54.1,57.4,7.1,2.0,2.9,7.7,14.2,14.4
2005,1,5,8,0.0,72.9,74.9,66.0,3.1,2.2,5.7,5.4,18.2,7.8
2005,1,5,20,0.0,67.4,58.5,66.1,2.7,2.1,2.9,5.0,14.5,7.7
2005,1,6,8,0.0,47.8,67.0,61.5,6.1,14.9,17.3,3.8,5.8,4.8
2005,1,6,20,0.0,55.4,54.6,61.5,1.9,20.9,23.5,3.0,10.0,12.7
2005,1,7,8,0.0,74.4,58.4,70.6,4.0,29.1,7.6,6.1,6.9,11.0
2005,1,7,20,0.0,74.1,47.7,53.4,6.2,9.6,9.1,12.4,14.4,7.8
2005,1,8,8,0.0,79.0,54.3,61.5,12.0,7.0,24.9,19.0,14.5,10.8
2005,1,8,20,0.0,59.1,62.2,46.6,8.1,5.7,7.1,1.9,3.0,3.7
2005,1,9,8,0.0,62.3,82.5,49.8,44.2,15.0,8.8,2.8,3.1,3.6
2005,1,9,20,0.0,47.5,66.0,53.1,51.8,5.0,8.8,1.0,3.0,5.0
2005,1,10,8,0.0,66.5,79.1,57.3,59.7,7.0,9.8,3.7,9.0,6.6
2005,1,10,20,0.0,62.6,66.1,57.6,44.2,3.8,10.1,4.6,11.3,7.8
2005,1,11,8,0.0,76.7,74.6,66.1,41.0,7.8,6.6,5.0,5.1,6.4
2005,1,11,20,0.0,67.5,66.6,57.8,38.1,4.7,12.5,8.2,15.9,7.8
2005,1,12,8,0.0,62.4,87.8,81.4,40.6,6.9,16.7,11.3,25.5,7.7
2005,1,12,20,0.0,67.2,85.5,80.7,64.2,9.5,5.0,8.8,5.6,-99999.0
2005,1,13,8,0.0,76.8,90.2,90.8,92.3,44.1,25.0,16.5,17.6,14.2
2005,1,13,20,0.0,66.1,76.5,57.2,90.9,10.1,8.1,5.0,5.0,-99999.0
2005,1,14,8,0.0,56.3,42.1,36.3,13.4,9.0,7.1,4.3,3.0,3.7
2005,1,14,22,0.0,32.2,35.8,20.1,51.0,11.6,6.3,9.0,2.0,2.8
2005,1,15,8,0.0,39.3,65.3,18.6,50.5,6.1,3.2,8.3,3.8,-99999.0
2005,1,15,20,0.0,40.7,48.8,17.1,54.8,5.2,2.9,4.1,5.0,2.1
2005,1,16,8,0.0,31.8,26.4,10.7,43.4,5.7,14.4,5.1,3.3,-99999.0
2005,1,16,20,0.0,43.8,31.3,8.1,46.7,9.2,10.0,6.6,2.9,-99999.0
2005,1,17,9,0.0,66.6,83.9,3.8,63.6,16.6,22.1,4.8,10.9,7.0
2005,1,17,20,0.0,50.6,66.1,22.3,59.4,30.5,10.0,7.4,6.6,-99999.0
2005,1,18,9,0.0,72.6,47.4,61.6,89.4,21.0,5.0,9.4,-99999.0,-99999.0
2005,1,18,20,0.0,73.4,85.9,76.0,6.3,23.3,3.0,13.2,11.1,15.2
2005,1,19,8,0.0,72.4,72.7,50.0,9.7,4.7,7.7,5.8,14.1,19.9
2005,1,19,20,0.0,67.5,73.6,46.6,2.8,8.2,8.6,5.2,14.3,19.7
2005,1,20,8,0.0,78.3,92.8,53.9,51.4,16.3,10.4,11.8,25.7,14.2
2005,1,20,21,0.0,77.2,78.9,43.4,48.1,16.6,11.4,26.1,36.4,-99999.0
2005,1,21,8,0.0,77.6,92.1,92.0,71.2,23.6,10.3,32.1,40.9,16.9
2005,1,21,20,0.0,77.8,84.8,89.7,30.5,4.9,10.3,23.3,20.6,-99999.0
2005,1,22,8,0.0,81.5,91.8,86.7,78.3,6.2,5.6,36.0,22.9,-99999.0
2005,1,22,20,0.0,67.9,63.2,77.9,1.6,5.8,2.9,39.7,8.6,20.2
2005,1,23,8,0.0,80.4,72.0,62.0,3.0,8.5,3.7,6.6,12.5,19.7
2005,1,23,20,0.0,77.7,62.9,66.6,18.0,4.3,13.6,13.6,25.6,12.5
2005,1,24,8,0.0,76.0,74.4,92.2,6.0,2.7,13.9,26.0,15.7,9.2
2005,1,24,20,0.0,83.0,72.0,58.4,84.4,4.8,2.6,21.1,25.4,19.7
2005,1,25,8,0.0,86.9,83.3,21.7,69.8,2.9,0.9,54.6,36.3,11.5
2005,1,25,20,0.0,77.2,82.3,82.2,9.0,5.9,4.6,7.1,36.3,5.0
2005,1,26,8,0.0,86.9,73.2,76.1,60.0,12.8,2.6,17.7,6.0,1.8
2005,1,26,20,0.0,85.1,88.3,94.2,31.7,1.0,2.9,31.4,10.3,2.3
2005,1,27,8,0.0,78.7,77.1,92.3,24.7,5.2,11.6,11.5,17.0,1.9
2005,1,27,20,0.0,76.6,82.4,87.0,10.2,11.5,19.3,20.6,35.5,6.3
